ID,ステータス,カテゴリ,離脱防止タグ名,離脱防止タグ,クリック時,画像URL,流入経路URL名,流入経路URL,テキスト,経過時間(秒),経過時間設定,フォーム入力中制限,スクロール(px),ブラウザヘッダ遷移,別タブ遷移(ブラウザアプリ離脱も含む),ページ最下部,編集日,編集時間,
"1045","SPのみ表示","SEO","/seo_phimo/kasei_包茎を治して夜の自信をつけたい!","<script src='https://js.winut.net/winback.js?back_uqid=T1L1DTP' async></script>","流入経路URLに遷移する","https://img.winut.net/125/2P8jZFVliFO9a794-1752216800.jpg","/seo_phimo/kasei_包茎を治して夜の自信をつけたい!","https://t.winut.netin/flow/XVZ8JF4","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:41:07",
"1044","SPのみ表示","SEO","/seo_phimo/kasei_包茎を治して自分に自信をつけたい!","<script src='https://js.winut.net/winback.js?back_uqid=T0T6IW2' async></script>","流入経路URLに遷移する","https://img.winut.net/125/1fFHaXI1eVhCkSt6-1752216587.jpg","/seo_phimo/kasei_包茎を治して自分に自信をつけたい!","https://t.winut.netin/flow/XW586EN","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:40:50",
"1043","SPのみ表示","SEO","/seo_phimo/kasei_自分にぴったりの包茎の直し方を見つける!","<script src='https://js.winut.net/winback.js?back_uqid=SZYC9CW' async></script>","流入経路URLに遷移する","https://img.winut.net/125/pkZpS5EzR8lxGz4M-1752216558.jpg","/seo_phimo/kasei_自分にぴったりの包茎の直し方を見つける!","https://t.winut.netin/flow/XUYXUE1","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:40:41",
"1034","SPのみ表示","SEO","/seo_phimo/oosaka_包茎を治して自分に自信をつけたい!","<script src='https://js.winut.net/winback.js?back_uqid=SQQL80K' async></script>","流入経路URLに遷移する","https://img.winut.net/125/ZzDzyoxRM9dD7Dwb-1751970263.jpg","/seo_phimo/oosaka_包茎を治して自分に自信をつけたい!","https://t.winut.netin/flow/XKCRUWC","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:40:27",
"1033","SPのみ表示","SEO","/seo_phimo/oosaka_自分にぴったりの包茎の直し方を見つける!","<script src='https://js.winut.net/winback.js?back_uqid=SP41KM1' async></script>","流入経路URLに遷移する","https://img.winut.net/125/QQ2TfOE5v8V3O2rX-1751970237.jpg","/seo_phimo/oosaka_自分にぴったりの包茎の直し方を見つける!","https://t.winut.netin/flow/XJ18N23","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:40:20",
"1032","SPのみ表示","SEO","/seo_phimo/oosaka_包茎を治して夜の自信をつけたい!","<script src='https://js.winut.net/winback.js?back_uqid=SOB5FWR' async></script>","流入経路URLに遷移する","https://img.winut.net/125/wAvv93un1FZqUN6W-1751970198.jpg","/seo_phimo/oosaka_包茎を治して夜の自信をつけたい!","https://t.winut.netin/flow/XIMDOZN","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:40:11",
"916","SPのみ表示","SEO","/seo_phimo/hiyo_包茎を治して自分に自信をつけたい!","<script src='https://js.winut.net/winback.js?back_uqid=PG4TSZ2' async></script>","流入経路URLに遷移する","https://img.winut.net/125/18kncxjjZkq2S5Wa-1747995518.jpg","/seo_phimo/hiyo_包茎を治して自分に自信をつけたい!","https://t.winut.netin/flow/TY3FBOC","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:38:17",
"915","SPのみ表示","SEO","/seo_phimo/hiyo_自分にぴったりの包茎の直し方を見つける!","<script src='https://js.winut.net/winback.js?back_uqid=PFL9PV2' async></script>","流入経路URLに遷移する","https://img.winut.net/125/lwRmARELn5QtugjW-1747995465.jpg","/seo_phimo/hiyo_自分にぴったりの包茎の直し方を見つける!","https://t.winut.netin/flow/TXE5EYM","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:39:58",
"914","SPのみ表示","SEO","/seo_phimo/hiyo_包茎を治して夜の自信をつけたい!","<script src='https://js.winut.net/winback.js?back_uqid=PEE1AQK' async></script>","流入経路URLに遷移する","https://img.winut.net/125/8pD7LUVgmKACnDsj-1747995392.jpg","/seo_phimo/hiyo_包茎を治して夜の自信をつけたい!","https://t.winut.netin/flow/TW5SMNH","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:39:47",
"652","SPのみ表示","","/phimo/mens/包茎を治して夜の自信を持ちたい！","<script src='https://js.winut.net/winback.js?back_uqid=I4NRM' async></script>","流入経路URLに遷移する","https://img.winut.net/125/TnRieICxIliUsAmb-1737703681.png","/phimo/mens/包茎を治して夜の自信を持ちたい！","https://t.winut.netin/flow/L2UJS","","0","","","0","停止","停止","停止","2025年01月29日","09:13:59",
"651","SPのみ表示","","/phimo/mens/自分にぴったりの包茎の治し方を見つけ","<script src='https://js.winut.net/winback.js?back_uqid=I32BV' async></script>","流入経路URLに遷移する","https://img.winut.net/125/b6RlU8ybNxeTSng5-1737703660.png","/phimo/mens/自分にぴったりの包茎の治し方を見つけ","https://t.winut.netin/flow/L1DAB","","0","","","0","停止","停止","停止","2025年01月29日","09:13:49",
"650","SPのみ表示","","/phimo/mens/包茎を治して自分に自信を持ちたい!","<script src='https://js.winut.net/winback.js?back_uqid=I25AF' async></script>","流入経路URLに遷移する","https://img.winut.net/125/TSnf6Qtw6XDgtDnu-1737703635.png","/phimo/mens/包茎を治して自分に自信を持ちたい!","https://t.winut.netin/flow/L0597","","0","","","0","停止","停止","停止","2025年01月29日","09:13:36",
"649","SPのみ表示","","/phimo/abc/包茎を治して夜の自信を持ちたい！","<script src='https://js.winut.net/winback.js?back_uqid=I1UAX' async></script>","流入経路URLに遷移する","https://img.winut.net/125/abmGKYH14yhnMcOW-1737703612.png","/phimo/abc/包茎を治して夜の自信を持ちたい！","https://t.winut.netin/flow/KZGT0","","0","","","0","停止","停止","停止","2025年01月29日","09:13:15",
"648","SPのみ表示","","/phimo/abc/自分にぴったりの包茎の治し方を見つける","<script src='https://js.winut.net/winback.js?back_uqid=I00RL' async></script>","流入経路URLに遷移する","https://img.winut.net/125/BOEg2FyJdC1QZkNN-1737703585.png","/phimo/abc/自分にぴったりの包茎の治し方を見つける","https://t.winut.netin/flow/KY8BN","","0","","","0","停止","停止","停止","2025年01月29日","09:12:53",
"647","SPのみ表示","","/phimo/abc/包茎を治して自分に自信を持ちたい!","<script src='https://js.winut.net/winback.js?back_uqid=HZ95B' async></script>","流入経路URLに遷移する","https://img.winut.net/125/MylCaPjLdMforkMA-1737703560.png","/phimo/abc/包茎を治して自分に自信を持ちたい!","https://t.winut.netin/flow/KX33P","","0","","","0","停止","停止","停止","2025年01月29日","09:12:24",
